Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT_BH9VPC,1,BH9VPC,
"C1, C10, C9",C_Disc_D4.7mm_W2.5mm_P5.00mm,3,100nF,
C2,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,10nF,
C3,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,470pF,
C4,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,10uF,
D1,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
"H1, H2, H3, H4, H5",MountingHole_3.2mm_M3,5,MountingHole,
"J1, J2",PRT16279,2,Conn_01x15,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
J4,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,330R,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1.6kR,
"R3, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,10kR,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1MF,
TP1,TestPoint_Pad_D1.0mm,1,9V Testpoint,
TP2,TestPoint_Pad_D1.0mm,1,3.3V Testpoint,
TP4,TestPoint_Pad_D1.0mm,1,3.3V GND Testpoint,
TP5,TestPoint_Pad_D1.0mm,1,Mouisture Testpoint,
TP6,TestPoint_Pad_D1.0mm,1,Light Testpoint,
U1,DIP-8_W7.62mm,1,TLC555xP,
