Designator,Mid X,Mid Y,Rotation,Layer
BT1,118.872,-52.492,180.0,top
C1,168.91,-50.252,90.0,top
C10,84.876,-54.864,0.0,top
C2,186.142,-41.91,180.0,top
C3,178.308,-42.378,90.0,top
C4,174.792,-61.468,0.0,top
C9,84.876,-50.292,0.0,top
D1,182.372,-61.468,0.0,top
J1,43.942,-60.198,0.0,top
J2,43.942,-44.958,0.0,top
J3,149.093,-40.894,90.0,top
J4,156.728,-67.31,90.0,top
R1,174.244,-38.608,180.0,top
R2,174.244,-42.164,180.0,top
R3,176.022,-56.642,0.0,top
R4,184.912,-64.77,180.0,top
R6,157.988,-48.514,180.0,top
U1,177.048,-52.568,90.0,top
