Designator,Footprint,Quantity,Value,LCSC Part #
"5V, 9V, GND",TestPoint_Keystone_5000-5004_Miniature,3,TestPoint_Keystone_5000-5004_Miniature,
A2,Arduino_Nano_ESP32_Socket,1,Arduino_Nano_ESP32_Socket,
C1,C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal,1,0.22 uF,
C2,C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal,1,0.1 uF,
C3,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,1,1nF,
"C4, C5, C6",CP_Radial_Tantal_D6.0mm_P2.50mm,3,100uF,
D1,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N914,
D2,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N5819,
D3,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N5817,
"J1, J2",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,
L1,L_Axial_L7.0mm_D3.3mm_P10.16mm_Horizontal_Fastron_MICC,1,1000uH,
"P1_2, P1, P2",PinHeader_1x02_P2.54mm_Vertical,3,PinHeader_1x02_P2.54mm_Vertical,
Q1,IRF510PBF,1,IRF510,
Q2,TO-220-3_Vertical,1,IRF4905,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,12k,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,0.22,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,180,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,6.2K,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1k,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10K,
TP1,TP4056-18650,1,TP4056,
U2,DIP-8_W7.62mm,1,MC33063AP,
U3,TO-220-3_Vertical,1,LM7805_TO220,
