Designator,Mid X,Mid Y,Rotation,Layer
5V,113.284,-65.024,90.0,top
9V,161.29,-62.992,90.0,top
A2,99.695,-87.844,0.0,top
C1,112.395,-51.268,270.0,top
C2,117.729,-51.268,270.0,top
C3,124.079,-59.801625,90.0,top
C4,139.359,-68.243625,0.0,top
C5,148.717,-66.802,270.0,top
C6,157.099,-66.802,270.0,top
D1,116.078,-71.842,270.0,top
D2,144.653,-61.639625,90.0,top
D3,122.809,-88.646,0.0,top
GND,161.29,-59.436,90.0,top
J1,88.265,-63.714,180.0,top
J2,88.138,-78.74,180.0,top
L1,138.303,-47.415625,180.0,top
P1_2,120.396,-74.168,0.0,top
P1,132.461,-64.941625,270.0,top
P2,135.001,-83.483625,180.0,top
Q1,113.184,-83.526,0.0,top
Q2,126.182,-78.403625,270.0,top
R1,112.903,-71.842,270.0,top
R2,140.081,-51.225625,270.0,top
R3,149.987,-47.923625,180.0,top
R4,149.733,-59.861625,90.0,top
R5,154.559,-51.987625,270.0,top
R6,126.111,-73.577625,0.0,top
TP1,164.641,-91.001625,180.0,top
U2,128.153,-51.743625,0.0,top
U3,112.395,-48.22,0.0,top
